category	status	slug	name	url	note
Hospitality	Positive	aman	Aman	https://www.aman.com/	Silence, space, white space, destination imagery.
Hospitality	Positive	aman-amangiri	Aman Amangiri	https://www.aman.com/resorts/amangiri	Actual Aman hotel architecture, desert context, sanctuary.
Hospitality	Positive	aman-new-york-hotel	Aman New York Hotel	https://www.aman.com/hotels/aman-new-york	Actual Aman urban hotel atmosphere and club-adjacent restraint.
Hospitality	Positive	places-by-raya	Places by Raya	https://placesbyraya.com/	Actual app UI, curator cards, maps, invitation feel.
Hospitality	Positive	les-sources-de-caudalie	Les Sources de Caudalie	https://www.sources-caudalie.com/en/	Warm vineyard luxury and soft hospitality imagery.
Private Travel	Positive	netjets	NetJets	https://www.netjets.com/en-us/	Guaranteed access, ownership logic, restrained jet luxury.
Private Travel	Positive	vistajet	VistaJet	https://www.vistajet.com/	Signature red stripe, global private-world system.
Private Travel	Positive	belmond	Belmond / Orient Express	https://www.belmond.com/	Heritage, ceremony, romance, craft.
Private Travel	Positive	tcs-world-travel	TCS World Travel	https://www.tcsworldtravel.com/	Private-jet expeditions with refinement over spectacle.
Private Travel	Positive	le-collectionist	Le Collectionist	https://www.lecollectionist.com/	Curated villas, concierge, not comprehensive.
Private Travel	Positive	the-thinking-traveller	The Thinking Traveller	https://www.thethinkingtraveller.com/	Local expertise, exclusive villas, Mediterranean warmth.
Private Travel	Positive	four-seasons-private-jet	Four Seasons Private Jet	https://www.fourseasons.com/privatejet/	Warm service, itinerary ceremony, premium clarity.
Private Clubs	Positive	aman-club	Aman Club	https://www.aman.com/hotels/aman-new-york	Invitation, sanctuary, urban quiet luxury.
Private Clubs	Positive	67-pall-mall	67 Pall Mall	https://www.67pallmall.com/	Taste-filtered membership and wine-lover specificity.
Private Clubs	Positive	casa-cipriani	Casa Cipriani	https://www.casacipriani.com/	Waitlist, privacy, no-photo culture, classic hospitality as protection.
Private Clubs	Positive	zero-bond	Zero Bond	https://zerobondny.com/	Unmarked door, deep black, discretion.
Private Clubs	Positive	core-club	CORE: Club	https://thecoreclub.com/	Belonging, cultural programming, visionary member world.
Private Clubs	Positive	maximes	Maxime's	https://www.maximesclub.com/	Old-world privacy and off-Instagram curation.
Private Clubs	Positive	san-vicente	San Vicente Clubs	https://www.sanvicenteclubs.com/	Nomination, no-phones privacy, intimate rooms.
Concierge / Access	Positive	exclusive-resorts	Exclusive Resorts	https://exclusiveresorts.com/	Open-the-door service, residence club, time as luxury.
Concierge / Access	Positive	abercrombie-kent	Abercrombie & Kent	https://www.abercrombiekent.com/	Human journey designers and expert-led access.
Concierge / Access	Positive	original-travel	Original Travel	https://www.originaltravel.co.uk/	Tailor-made detail and little extras.
Concierge / Access	Positive	inspirato	Inspirato	https://www.inspirato.com/	Certainty, owned collection, subscription access.
Concierge / Access	Positive	black-tomato	Black Tomato	https://www.blacktomato.com/	Named experiences and adventure without chaos.
Concierge / Access	Positive	scott-dunn	Scott Dunn	https://www.scottdunn.com/us	Feeling-led luxury travel and bespoke planning.
Access Cards	Positive	amex-centurion	Amex Centurion	https://www.americanexpress.com/en-us/benefits/centurion/by-invitation-only.html	Weighted artifact, silence, invite-only proof.
Access Cards	Positive	resy	Resy	https://resy.com/	Notify mechanic, access alerting, restaurant UX.
Luxury Goods	Positive	loro-piana	Loro Piana	https://ii.loropiana.com/en/	No-logo material proof and quiet product imagery.
Luxury Goods	Positive	loro-piana-product	Loro Piana Product Detail	https://ii.loropiana.com/en/man	Material proof, product restraint, tactile fabric detail.
Luxury Goods	Positive	brunello-cucinelli	Brunello Cucinelli	https://shop.brunellocucinelli.com/en-us/	Philosophy, warm humanism, origin story.
Luxury Goods	Positive	brunello-product	Brunello Cucinelli Product Detail	https://shop.brunellocucinelli.com/en-us/men/	Actual garments, warm product styling, humanism through materials.
Luxury Goods	Positive	bottega-veneta	Bottega Veneta	https://www.bottegaveneta.com/en-us	Signature technique replacing logo.
Luxury Goods	Positive	bottega-product	Bottega Veneta Product Detail	https://www.bottegaveneta.com/en-us/men/bags	Actual woven product detail and technique.
Luxury Goods	Positive	goyard	Goyard	https://www.goyard.com/	Withholding, mystique, discreet pattern.
