category	status	slug	name	image_url	note
Hospitality	Positive	places-by-raya	Places by Raya App UI	https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/4d/bc/2d/4dbc2d84-4a5e-3c6d-c076-c735b694cb2f/5.5in_01@3x.png/392x696bb.png	Official App Store UI screenshot.
Hospitality	Positive	places-by-raya	Places by Raya App UI	https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/d5/98/90/d59890f2-7435-009b-633b-121a8e26975e/5.5in_02@3x.png/392x696bb.png	Official App Store UI screenshot.
Hospitality	Positive	places-by-raya	Places by Raya App UI	https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/70/46/0e/70460e13-3e24-635d-f4f3-e3c90bce52f0/5.5in_03@3x.png/392x696bb.png	Official App Store UI screenshot.
Access Cards	Positive	resy	Resy App UI	https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/ca/9b/07/ca9b07b7-5ac1-55fe-3539-b86cbd6675cb/3fae6298-afd0-4118-b2ab-fb06470284dd_iPhone_Pro_-_en-US_-_01.jpg/392x696bb.jpg	Official App Store UI screenshot.
Digital Product	Positive	perplexity	Perplexity App UI	https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/ba/a4/7b/baa47bf2-9eba-676b-9316-8baec0dd0d30/ec6f3df2-07ef-4e83-a061-c1dee5d5b200_5.5_inch_iphone_01.png/392x696bb.png	Official App Store UI screenshot.
Digital Product	Positive	perplexity	Perplexity App UI	https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/c9/08/ce/c908ce80-b33a-1f52-97a1-ac6fde4a79f0/5e85343a-7a8d-4f64-a0cb-68cb84ccbf7d_5.5_inch_iphone_02.png/392x696bb.png	Official App Store UI screenshot.
Digital Product	Positive	manus	Manus App UI	https://play-lh.googleusercontent.com/A8NeufUbt0YyOxGXUWP2VXc6K5SpIf-zc3n5QNMhz-meERNQr_l7bULbmkumq-vHGrom=w1052-h592	Official Google Play UI screenshot.
Digital Product	Positive	apple-music	Apple Music App UI	https://play-lh.googleusercontent.com/9JcmThyALl3UU6Pyfvk4cslZSuz-SAn1AIHrYgU6gN97t_dx-7Lv2wVDt8eVQVSRaQLaJuQ-khvxmeARsvx1jw=w1052-h592	Official Google Play UI screenshot.
Digital Product	Positive	amex-app	Amex App UI	https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/78/21/78/78217895-66ac-5d09-61e1-95ddf5b941fa/Welcome_1242x2208.png/392x696bb.png	Official App Store UI screenshot.
Digital Product	Positive	amex-app	Amex App UI	https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/6f/20/23/6f2023c5-81c2-f4e9-7164-b728a0360d74/Screenshot2_Account_iOS5.jpg/392x696bb.jpg	Official App Store UI screenshot.
Digital Product	Positive	journey	Journey App UI	https://play-lh.googleusercontent.com/iusTqIVL5ynQdXO5bRCowGomAH0ViK4_MxWUAerWkrcyIlceSisQLjh7FPELbNvDNDY6-7tuBch_76MXjIqjXw=w1052-h592	Official Google Play UI screenshot.
Digital Product	Positive	oura	Oura App/Product UI	https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/3b/b6/0b/3bb60b56-4617-6288-1714-f60a022ec64f/4d4c79d4-d6c2-4df5-bdb7-c5e607815bd1_5.5-inch_Screenshot_1.png/392x696bb.png	Official App Store UI screenshot.
Anti-Reference	Negative	beli	Beli App UI	https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/3e/4c/da/3e4cdae4-6660-13a1-b386-f58b0683a4bb/5.5_1.jpg/392x696bb.jpg	Official App Store UI screenshot.
Tension / Study	Tension	dorsia	Dorsia App UI	https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/17/b8/eb/17b8ebed-d097-8bc4-4aa2-2340e7681c8f/f5e79aab-78e7-4efd-9c9e-be68b7a33ae1_5.5_1.jpg/392x696bb.jpg	Official App Store UI screenshot.
Tension / Study	Tension	velocity-black	Velocity Black App UI	https://play-lh.googleusercontent.com/80dOJbSNHT3LTYjSmHMtXI0_nnApMMtwjVtdimGWgPBKnpL-Labn8XOjumVrh40EdFomaHXysJOpsDDwHSLSZw=w1052-h592	Official Google Play UI screenshot.
